MSSubClass,MSZoning,log(LotArea),Neighborhood,OverallQual,OverallCond,log(TotalBsmtSF),log(GrLivArea),SaleType,SaleCondition,log(SalePrice)
1-1/2 STORY FINISHED ALL AGES,RM,3.643452676,OldTown,6,8,2.811575006,3.048441804,WD,Normal,5.064457989
1-1/2 STORY - UNFINISHED ALL AGES,RM,3.77815125,BrkSide,6,7,2.946452265,2.95616843,WD,Normal,5.075546961
1-STORY 1945 & OLDER,RL,3.631443769,Crawfor,5,6,2.643452676,2.84135947,WD,Normal,4.955928157
1-1/2 STORY FINISHED ALL AGES,RL,4.091807597,Edwards,6,8,2.835056102,3.07773118,ConLI,Normal,5.041392685
1-STORY 1946 & NEWER ALL STYLES,RL,4.188394071,NridgHt,10,5,3.490520309,3.380573003,WD,Normal,5.744292983
DUPLEX - ALL STYLES AND AGES,RL,4.083072412,Edwards,4,4,3.158362492,3.158362492,WD,Normal,5.071882007
1-1/2 STORY FINISHED ALL AGES,RM,3.79518459,BrkSide,5,7,3.032618761,3.196728723,WD,Normal,5.211921084
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.593507589,Blmngtn,7,5,3.099680641,3.099680641,New,Partial,5.236789099
2-STORY 1946 & NEWER,RL,3.942008053,CollgCr,7,5,2.961421094,3.28057837,WD,Normal,5.322219295
1-STORY 1946 & NEWER ALL STYLES,RL,3.993656629,Edwards,6,5,3.15715444,3.22762965,COD,Normal,5.105510185
1-STORY 1946 & NEWER ALL STYLES,RL,4.217273326,NAmes,6,6,3.180985581,3.27600199,WD,Normal,5.278753601
2-STORY 1946 & NEWER,RL,4.049760552,Gilbert,7,5,2.968482949,3.275541688,WD,Normal,5.300812794
1-1/2 STORY FINISHED ALL AGES,RM,3.934498451,IDOTRR,6,6,2.892094603,3.138618434,WD,Normal,5.077367905
1-1/2 STORY FINISHED ALL AGES,RM,3.77815125,OldTown,3,7,2.812244697,3.072984745,WD,Normal,5.079181246
1-STORY 1945 & OLDER,RM,3.754654069,OldTown,6,8,2.910090546,2.910090546,WD,Normal,5.041392685
1-STORY 1946 & NEWER ALL STYLES,RL,4.849793962,ClearCr,7,5,3.185542155,3.185542155,WD,Normal,5.447158031
2-STORY 1946 & NEWER,RL,3.968623021,Timber,6,5,2.940516485,3.244524512,WD,Normal,5.309630167
2-STORY 1946 & NEWER,FV,3.954242509,Somerst,8,5,2.88536122,3.201397124,WD,Normal,5.322219295
DUPLEX - ALL STYLES AND AGES,RL,3.968342831,Mitchel,5,5,3.237543738,3.237543738,WD,Family,5.274157849
1-STORY 1946 & NEWER ALL STYLES,RL,3.982271233,NWAmes,7,6,3.094121596,3.094121596,WD,Normal,5.244277121
2-STORY 1945 & OLDER,RM,3.660011221,OldTown,5,5,2.79518459,3.128399269,COD,Abnorml,4.991226076
1-STORY 1946 & NEWER ALL STYLES,RL,4.726131989,ClearCr,4,6,3.13481437,3.220892249,WD,Normal,5.408239965
2-STORY 1945 & OLDER,RM,3.707570176,OldTown,8,7,2.769377326,3.221674997,WD,Normal,5.206825876
1-1/2 STORY FINISHED ALL AGES,RL,3.846027675,BrkSide,5,4,2.850646235,3.080265627,WD,Normal,5.041392685
2-STORY 1946 & NEWER,FV,3.90330708,Somerst,8,5,2.920123326,3.286680969,New,Partial,5.420673475
2-STORY 1945 & OLDER,RL,3.857332496,SWISU,7,9,2.748188027,3.054995862,WD,Normal,5.190331698
1-STORY 1946 & NEWER ALL STYLES,RL,3.918082785,Sawyer,5,5,2.936513742,2.936513742,WD,Normal,4.795066256
2-STORY 1945 & OLDER,RL,4.078746734,Crawfor,6,7,2.854306042,3.220108088,WD,Normal,5.2757719
1-STORY 1946 & NEWER ALL STYLES,RL,3.925827575,CollgCr,5,5,3.017033339,3.017033339,WD,Normal,5.093421685
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,3.487421211,Blmngtn,7,5,3.138302698,3.150449409,WD,Normal,5.252221754
1-STORY 1946 & NEWER ALL STYLES,RL,4.026451546,NAmes,7,5,3.106190897,3.106190897,WD,Normal,5.222716471
2-STORY 1945 & OLDER,RL,3.976808337,NAmes,5,7,2.862131379,3.215901813,WD,Normal,5.165837625
1-STORY 1946 & NEWER ALL STYLES,RL,4.057970232,NridgHt,8,5,3.211120541,3.213252052,WD,Normal,5.397940009
2-STORY 1946 & NEWER,RL,3.96806246,SawyerW,6,5,2.920123326,3.23299611,WD,Normal,5.271841607
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.833784375,StoneBr,8,5,3.172602931,3.176669933,WD,Normal,5.326335861
2-STORY 1946 & NEWER,RL,4.077440584,NWAmes,7,6,2.907411361,3.294245716,WD,Normal,5.278753601
PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,RM,3.565257343,Edwards,6,5,2.737987326,3.030194785,WD,Normal,5.170261715
1-STORY 1946 & NEWER ALL STYLES,RL,4.17542483,NridgHt,8,5,3.29578694,3.29578694,New,Partial,5.643452676
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.726727209,StoneBr,8,5,3.174350597,3.218010043,WD,Normal,5.399673721
1-STORY 1946 & NEWER ALL STYLES,RL,3.928395852,Sawyer,5,6,2.986771734,2.986771734,WD,Normal,5.122215878
1-STORY 1946 & NEWER ALL STYLES,RL,4.118099312,CollgCr,6,5,3.169674434,3.174059808,WD,Normal,5.31993844
2-STORY 1946 & NEWER,RL,4.136498608,NridgHt,9,5,3.33304403,3.422097163,WD,Normal,5.579783597
1-STORY 1946 & NEWER ALL STYLES,RL,4.026819159,CollgCr,8,5,3.231724383,3.235023159,WD,Normal,5.472756449
1-STORY 1945 & OLDER,RM,3.772688355,OldTown,4,7,2.957607287,3.053462605,WD,Alloca,4.951682291
1-STORY 1946 & NEWER ALL STYLES,RL,4.205014793,NridgHt,9,5,3.263162465,3.267171728,WD,Normal,5.5132176
1-STORY 1946 & NEWER ALL STYLES,RL,4.073571728,NridgHt,9,5,3.253338005,3.253338005,WD,Normal,5.572871602
2-STORY 1945 & OLDER,RM,3.397940009,OldTown,7,8,2.959041392,3.261500773,WD,Normal,5.190331698
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,3.653212514,Mitchel,6,5,3.084933575,3.084933575,WD,Normal,5.214843848
1-STORY 1946 & NEWER ALL STYLES,RL,3.889749775,Sawyer,5,7,2.999565488,2.999565488,WD,Normal,5.122215878
1-STORY 1946 & NEWER ALL STYLES,RL,3.982271233,NAmes,5,7,3.046495164,3.046495164,WD,Normal,5.167317335
1-STORY 1946 & NEWER ALL STYLES,RL,4.012373167,NAmes,5,7,3.030599722,3.030599722,WD,Normal,5.193124598
1-STORY 1946 & NEWER ALL STYLES,RL,4.087887849,NWAmes,5,6,3.171433901,3.171433901,WD,Normal,5.243038049
2 FAMILY CONVERSION - ALL STYLES AND AGES,RL,4.033423755,OldTown,5,4,2.979548375,3.382737266,ConLD,Normal,5.204119983
PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,RM,3.183554534,MeadowV,4,8,2.799340549,2.799340549,WD,Normal,4.934498451
2-STORY PUD - 1946 & NEWER,RM,3.425697213,MeadowV,5,6,2.421603927,3.115277591,WD,Normal,5.06069784
1-1/2 STORY FINISHED ALL AGES,RL,3.977266212,NAmes,6,7,2.906335042,3.198106999,WD,Normal,5.123851641
2-STORY 1946 & NEWER,RL,4.1925117,Gilbert,6,5,2.862131379,3.163161375,New,Partial,5.237506037
1-STORY 1946 & NEWER ALL STYLES,RL,3.89932795,NAmes,5,6,3.103461622,3.103461622,WD,Normal,5.190331698
1-STORY 1945 & OLDER,RM,3.762228284,OldTown,5,8,2.278753601,2.947433722,WD,Normal,4.960470778
1-STORY 1945 & OLDER,C (all),3.8964711,IDOTRR,4,5,2.857332496,2.857332496,WD,Abnorml,4.542825427
1-STORY 1946 & NEWER ALL STYLES,RL,4.103530063,NoRidge,8,5,3.505149978,3.508933526,WD,Normal,5.633468456
1-1/2 STORY FINISHED ALL AGES,RL,3.959994838,BrkSide,7,6,3.011147361,3.260071388,WD,Normal,5.264817823
1-STORY 1946 & NEWER ALL STYLES,RL,3.892094603,Sawyer,5,7,2.936513742,2.953759692,WD,Normal,5.113943352
1-STORY 1946 & NEWER ALL STYLES,RL,3.877083257,NAmes,5,7,2.959994838,2.959994838,WD,Normal,5.079181246
2-STORY PUD - 1946 & NEWER,RM,3.276461804,BrDale,6,5,2.827369273,3.085647288,WD,Normal,5.053078443
2-STORY 1946 & NEWER,FV,3.991359003,Somerst,7,5,2.937517892,3.247482261,WD,Normal,5.35545152
1-STORY 1946 & NEWER ALL STYLES,RL,3.962369336,Edwards,5,7,3.084218687,3.084218687,WD,Normal,5.146128036
1-STORY 1946 & NEWER ALL STYLES,RL,4.193180274,Crawfor,7,8,3.176380692,3.255513713,WD,Normal,5.460897843
2-STORY PUD - 1946 & NEWER,RL,3.363235804,NPkVill,6,5,2.931966115,3.121231455,WD,Normal,5.167317335
DUPLEX - ALL STYLES AND AGES,RM,3.880584956,OldTown,5,5,2.982271233,3.292256071,COD,Normal,5.095169351
2-STORY 1946 & NEWER,RL,3.980185237,SawyerW,8,5,2.890421019,3.281260687,WD,Normal,5.33243846
1-STORY 1946 & NEWER ALL STYLES,FV,3.895533039,Somerst,6,5,3.085647288,3.085647288,New,Partial,5.31868927
2-STORY 1945 & OLDER,RM,3.982271233,OldTown,7,9,2.838219222,3.139249218,WD,Normal,5.206825876
1-STORY 1946 & NEWER ALL STYLES,RL,3.982271233,NAmes,5,6,3.01745073,3.01745073,WD,Normal,5.095169351
1-STORY 1946 & NEWER ALL STYLES,RL,4.163131546,NAmes,5,7,3.003460532,3.134495856,WD,Normal,5.217220656
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.831997677,NridgHt,7,5,3.136086097,3.136086097,New,Partial,5.306778753
1-STORY 1946 & NEWER ALL STYLES,RL,3.959041392,NAmes,5,5,2.936513742,2.936513742,WD,Normal,5.113609151
1-STORY 1946 & NEWER ALL STYLES,RL,3.963173716,Mitchel,6,5,3.035029282,3.033423755,WD,Normal,5.127104798
1-1/2 STORY - UNFINISHED ALL AGES,RL,4.025059969,Crawfor,5,5,2.88536122,2.897077003,WD,Normal,4.984527313
1-STORY 1946 & NEWER ALL STYLES,RL,4.087071206,NridgHt,10,5,3.302330929,3.305351369,New,Partial,5.605155226
SPLIT OR MULTI-LEVEL,RL,4.019033164,NWAmes,6,6,2.838219222,3.326130957,COD,Abnorml,5.198657087
2-STORY 1946 & NEWER,RL,4.008940661,NoRidge,7,5,3.101747074,3.369957607,WD,Normal,5.423245874
2-STORY 1946 & NEWER,RL,3.97913847,CollgCr,6,5,2.899820502,3.254306332,WD,Normal,5.324282455
2-STORY 1945 & OLDER,RL,4.03814309,Crawfor,7,9,3.105850674,3.318063335,WD,Normal,5.369215857
2 FAMILY CONVERSION - ALL STYLES AND AGES,RL,4.033423755,OldTown,4,7,#NUM!,3.111934276,WD,Normal,5.026328939
1-STORY 1946 & NEWER ALL STYLES,RL,4.078746734,NAmes,6,6,3.09482038,3.09482038,WD,Normal,5.176091259
1-1/2 STORY FINISHED ALL AGES,RM,3.698970004,BrkSide,6,7,3.001733713,3.221153322,WD,Normal,5.201397124
2-STORY 1946 & NEWER,RL,4.603079386,Edwards,10,5,3.496652939,3.669874502,New,Partial,5.266584447
2-STORY 1946 & NEWER,RL,4.071403284,NoRidge,7,5,3.139564266,3.379849179,WD,Normal,5.499343359
1-STORY 1946 & NEWER ALL STYLES,FV,3.875061263,Somerst,7,5,3.099335278,3.102433706,WD,Normal,5.245512668
1-STORY 1946 & NEWER ALL STYLES,RL,4.123851641,NAmes,5,7,2.967547976,2.967547976,WD,Normal,5.120573931
2-STORY 1946 & NEWER,RL,4.174583089,NridgHt,9,5,3.161966616,3.433449794,New,Partial,5.649588934
1-STORY 1945 & OLDER,RL,3.958945932,Edwards,4,7,2.722633923,2.781755375,WD,Normal,4.934498451
1-STORY 1946 & NEWER ALL STYLES,RL,4.514122547,Crawfor,6,3,3.308564414,3.400537989,WD,Alloca,5.302382885
SPLIT OR MULTI-LEVEL,RL,4.008600172,Timber,6,5,3.164650216,3.17868924,WD,Abnorml,5.243038049
2-STORY 1945 & OLDER,RM,3.789228057,BrkSide,6,8,2.78604121,3.134177108,WD,Normal,5.10720997
1-STORY 1946 & NEWER ALL STYLES,RL,3.857332496,NAmes,5,7,#NUM!,2.91750551,WD,Normal,5.031408464
1-STORY 1946 & NEWER ALL STYLES,RL,3.698970004,BrkSide,1,3,#NUM!,2.523746467,WD,Normal,4.59439255
2-STORY 1946 & NEWER,RL,3.956936414,Gilbert,8,5,2.849419414,3.150449409,WD,Normal,5.250420002
2 FAMILY CONVERSION - ALL STYLES AND AGES,RL,3.84509804,Edwards,5,7,3.048053173,3.129367596,WD,Normal,5.031408464
2-STORY 1946 & NEWER,RL,3.950559562,CollgCr,7,5,2.944482672,3.236537261,WD,Normal,5.274157849
1-STORY 1946 & NEWER ALL STYLES,RL,4.104998949,NAmes,4,5,2.936513742,2.936513742,COD,Normal,5.04630002
1-STORY 1946 & NEWER ALL STYLES,RL,4.062694773,Sawyer,5,5,3.021602716,3.064083436,WD,Normal,5.198657087
1-STORY 1946 & NEWER ALL STYLES,RL,4.057780177,CollgCr,8,5,3.19893187,3.204391332,WD,Normal,5.434568904
1-STORY 1946 & NEWER ALL STYLES,RL,4.164382601,Timber,9,5,3.264345507,3.264345507,WD,Normal,5.498310554
2-STORY 1946 & NEWER,RL,4.041392685,NoRidge,8,5,2.986323777,3.358886204,WD,Normal,5.394451681
1-STORY 1946 & NEWER ALL STYLES,RL,4.006037955,NWAmes,7,5,3.217483944,3.225309282,WD,Normal,5.32888904
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RH,3.608312043,NAmes,7,5,2.859138297,2.884795364,WD,Normal,5.123851641
2-STORY 1946 & NEWER,RL,4.233097688,Gilbert,7,5,2.815577748,3.174931594,New,Partial,5.254463482
1-1/2 STORY FINISHED ALL AGES,RL,4.141041941,NWAmes,7,5,3.080626487,3.339053736,WD,Normal,5.359835482
1-1/2 STORY FINISHED ALL AGES,RL,3.941362336,BrkSide,6,7,3.027349608,3.213517757,WD,Normal,5.322219295
SPLIT FOYER,RL,3.859978442,Mitchel,5,7,2.88536122,2.88536122,WD,Normal,5.112269768
1-STORY 1946 & NEWER ALL STYLES,RM,3.915663604,OldTown,5,7,2.916453949,2.916453949,WD,Normal,5.096910013
2-STORY 1946 & NEWER,FV,3.971971276,Somerst,7,5,2.959994838,3.320976677,WD,Normal,5.419955748
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.606703741,NPkVill,6,6,3.028977705,3.028977705,COD,Abnorml,5.146128036
1-STORY 1946 & NEWER ALL STYLES,RM,3.77815125,OldTown,5,6,2.967547976,2.967547976,WD,Normal,5.051152522
1-STORY 1946 & NEWER ALL STYLES,RL,4.047119039,NridgHt,8,5,3.232742063,3.234770295,WD,Normal,5.407390904
1-STORY 1946 & NEWER ALL STYLES,RL,3.943346098,Edwards,4,5,#NUM!,3.051538391,WD,Normal,5.033423755
2-STORY 1946 & NEWER,RL,4.026328939,NridgHt,7,5,2.999130541,3.310905629,WD,Normal,5.45331834
1-1/2 STORY - UNFINISHED ALL AGES,RM,3.804820679,BrkSide,5,6,2.996949248,3.020361283,WD,Normal,5.053078443
1-STORY 1946 & NEWER ALL STYLES,RL,4.171726454,NAmes,5,5,3.038222638,3.038222638,WD,Normal,5.149219113
1-1/2 STORY FINISHED ALL AGES,C (all),4.042969073,IDOTRR,4,6,2.804139432,3.125806458,COD,Normal,5.033423755
2-STORY 1946 & NEWER,RL,4.339888497,Gilbert,7,5,2.862727528,3.160168293,WD,Normal,5.243038049
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.504606771,Blmngtn,7,5,3.137986733,3.192288613,WD,Normal,5.369215857
1-STORY 1946 & NEWER ALL STYLES,RL,4.05465135,Sawyer,5,6,3.143639235,3.143639235,WD,Normal,5.084576278
1-STORY 1946 & NEWER ALL STYLES,RL,4.000434077,Mitchel,5,5,3.142702246,3.142702246,WD,Normal,5.230448921
1-STORY 1945 & OLDER,RL,4.143233455,Edwards,5,6,2.998259338,2.998259338,WD,Normal,5.033423755
1-1/2 STORY FINISHED ALL AGES,RL,4.338057875,Edwards,6,7,3.065579715,3.223755454,WD,Normal,5.267171728
2-STORY 1946 & NEWER,RL,4.125351121,NoRidge,7,5,3.039414119,3.36078269,WD,Normal,5.428134794
2-STORY 1945 & OLDER,RL,3.836197481,SWISU,6,4,2.906335042,3.216693599,WD,Normal,5.10720997
2-STORY 1946 & NEWER,RL,4.049140463,StoneBr,9,5,3.049992857,3.398634325,WD,Normal,5.511883361
1-STORY 1946 & NEWER ALL STYLES,RL,4.007363654,NridgHt,7,5,3.180985581,3.18610838,WD,Normal,5.330413773
1-1/2 STORY FINISHED ALL AGES,RL,4.090857396,SawyerW,8,8,3.174931594,3.3287872,WD,Normal,5.500510911
DUPLEX - ALL STYLES AND AGES,RL,3.847078862,NAmes,5,5,2.974511693,2.974511693,WD,Normal,5.133411156
DUPLEX - ALL STYLES AND AGES,RL,4.117304447,NAmes,5,5,3.237543738,3.237543738,WD,Normal,5.154119526
1-STORY 1946 & NEWER ALL STYLES,RL,3.865222456,NAmes,6,6,2.936513742,2.936513742,WD,Abnorml,5.079181246
2-STORY 1946 & NEWER,RL,4.119222887,Timber,7,5,2.927370363,3.228400359,New,Partial,5.351216345
SPLIT OR MULTI-LEVEL,RL,3.998564458,Gilbert,7,5,2.584331224,3.155336037,WD,Normal,5.230448921
SPLIT OR MULTI-LEVEL,RL,4.021189299,NAmes,5,7,2.57054294,3.044931546,WD,Normal,5.1430148
1-1/2 STORY FINISHED ALL AGES,RL,3.928395852,NAmes,5,5,2.920123326,3.084933575,COD,Abnorml,5.07371835
1-1/2 STORY FINISHED ALL AGES,RL,3.798788714,SWISU,7,7,2.935003151,3.169380495,WD,Normal,5.161368002
SPLIT OR MULTI-LEVEL,RL,4.071034675,Sawyer,5,6,3.06595298,3.120573931,WD,Abnorml,5.216165902
2-STORY PUD - 1946 & NEWER,FV,3.556784782,Somerst,7,5,2.838219222,3.143639235,WD,Abnorml,5.164352856
1-1/2 STORY FINISHED ALL AGES,RM,4.084576278,OldTown,5,5,3.021189299,3.254064453,WD,Normal,5.118925753
1-STORY 1946 & NEWER ALL STYLES,RL,4.163906433,NAmes,6,6,3.058426024,3.155032229,WD,Normal,5.259832699
1-STORY 1946 & NEWER ALL STYLES,RL,4.103940485,NridgHt,8,5,3.310055738,3.310055738,New,Partial,5.403623188
DUPLEX - ALL STYLES AND AGES,RL,4.073388381,Edwards,6,5,2.911690159,2.911690159,WD,Normal,5.07371835
2-1/2 STORY ALL AGES,RM,4.130333768,OldTown,10,9,3.0923697,3.443262987,WD,Normal,5.511883361
1-1/2 STORY FINISHED ALL AGES,RM,3.786751422,BrkSide,4,7,2.946452265,3.196728723,WD,Normal,5.123851641
1-STORY 1946 & NEWER ALL STYLES,RL,4.058539898,Timber,8,5,3.271376872,3.307067951,New,Partial,5.568084331
1-STORY 1945 & OLDER,RL,4.011443562,BrkSide,6,7,2.911690159,2.923244019,WD,Normal,5.113943352
SPLIT FOYER,RL,3.941511433,Sawyer,5,6,2.924279286,2.934498451,WD,Normal,5.136720567
1-STORY 1946 & NEWER ALL STYLES,RL,4.3995872,ClearCr,5,8,3.157456768,3.168202747,WD,Partial,5.155336037
1-STORY W/FINISHED ATTIC ALL AGES,RM,3.959041392,BrkSide,5,6,2.870403905,2.970811611,WD,Normal,4.900367129
2-STORY 1946 & NEWER,RL,3.920123326,CollgCr,7,5,2.886490725,3.199206479,WD,Normal,5.26927939
2-STORY 1946 & NEWER,RL,4.129625452,NridgHt,10,5,3.236033147,3.360971884,ConLI,Normal,5.655090391
1-STORY 1946 & NEWER ALL STYLES,RL,3.819543936,Mitchel,5,8,2.911690159,2.911690159,WD,Normal,5.139879086
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,3.646893624,CollgCr,6,5,2.928395852,2.928395852,WD,Normal,5.146128036
1-STORY 1946 & NEWER ALL STYLES,RL,3.902546779,CollgCr,5,6,2.965671971,2.965671971,WD,Normal,5.041392685
1-STORY 1946 & NEWER ALL STYLES,RL,4.053155303,StoneBr,8,5,3.258637283,3.261500773,New,Partial,5.503790683
2-STORY 1945 & OLDER,RM,3.556302501,OldTown,6,7,2.835056102,3.136086097,WD,Normal,5.058820658
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.593507589,Blmngtn,7,5,3.099680641,3.146748014,New,Partial,5.288251462
1-STORY 1946 & NEWER ALL STYLES,RL,4.113408507,Crawfor,5,6,3.155336037,3.216693599,WD,Normal,5.337459261
2-STORY PUD - 1946 & NEWER,RM,3.290034611,Blueste,6,6,2.854913022,3.192009593,COD,Normal,5.178976947
2-STORY 1946 & NEWER,RL,4.038500943,NridgHt,8,5,3.024485668,3.279666944,WD,Normal,5.439332694
1-1/2 STORY FINISHED ALL AGES,RM,3.954242509,IDOTRR,6,6,2.892094603,3.138302698,WD,Normal,5.149219113
2-STORY 1946 & NEWER,RL,4.001776967,SawyerW,8,5,2.958085849,3.282168778,WD,Abnorml,5.342422681
2-STORY PUD - 1946 & NEWER,FV,3.502700175,Somerst,7,5,2.77815125,3.079181246,WD,Normal,5.178976947
1-STORY 1946 & NEWER ALL STYLES,RL,4.107311745,CollgCr,7,5,3.174350597,3.174350597,WD,Normal,5.344392274
2-STORY 1946 & NEWER,RL,4.133538908,NAmes,7,6,2.88536122,3.297979244,WD,Normal,5.311753861
1-STORY 1946 & NEWER ALL STYLES,RL,4.09565744,CollgCr,5,5,3.017033339,3.017033339,WD,Normal,5.181843588
1-STORY 1946 & NEWER ALL STYLES,RL,3.892094603,Edwards,5,8,2.95230801,3.302763708,WD,Normal,5.352182518
2-STORY 1945 & OLDER,RL,4.085219201,Crawfor,8,6,2.984527313,3.504334912,WD,Alloca,5.555215405
1-STORY 1946 & NEWER ALL STYLES,RL,3.899984563,Sawyer,4,5,3.012415375,3.012415375,WD,Normal,5.07371835
2-STORY 1946 & NEWER,RL,4.043362278,CollgCr,9,5,3.158362492,3.33304403,WD,Normal,5.495544338
SPLIT OR MULTI-LEVEL,RL,4.016824494,NWAmes,6,6,3.013679697,3.013679697,WD,Normal,5.170261715
2-STORY 1946 & NEWER,RL,4.074999186,CollgCr,8,5,3.113609151,3.272305844,WD,Normal,5.417471693
1-STORY 1946 & NEWER ALL STYLES,RL,3.924382677,Mitchel,5,5,3.049218023,3.049218023,New,Partial,5.167317335
PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,RM,3.173477643,MeadowV,4,6,2.799340549,2.799340549,WD,Normal,4.877946952
SPLIT FOYER,RL,3.944482672,NAmes,6,7,2.971275849,3.022840611,WD,Abnorml,5.138302698
2-STORY 1946 & NEWER,RL,3.895477796,Gilbert,6,5,2.893761762,3.17868924,WD,Normal,5.262925469
1-1/2 STORY - UNFINISHED ALL AGES,RL,3.858958055,NAmes,6,6,2.920123326,2.920123326,WD,Normal,5.02325246
1-STORY 1946 & NEWER ALL STYLES,RL,4.06796309,NridgHt,9,5,3.260548373,3.261976191,New,Partial,5.498052658
2-STORY 1946 & NEWER,RL,4.087923321,Timber,8,5,3.170848204,3.354492601,WD,Normal,5.484299839
1-STORY 1945 & OLDER,RL,3.916348652,Edwards,3,3,2.936513742,2.936513742,WD,Normal,4.826074803
2-STORY 1946 & NEWER,RL,4.033423755,NWAmes,6,7,3.182414652,3.417305583,WD,Normal,5.380211242
1-STORY 1946 & NEWER ALL STYLES,RL,3.849050691,Sawyer,5,6,2.991226076,2.991226076,WD,Normal,5.130333768
2-STORY PUD - 1946 & NEWER,FV,3.325720858,Somerst,6,5,2.878521796,3.179551791,WD,Normal,5.226599905
2-STORY 1946 & NEWER,RL,4.017033339,NWAmes,6,5,2.864511081,3.252853031,WD,Normal,5.217878578
1-STORY 1946 & NEWER ALL STYLES,RL,4,NAmes,6,6,3.047664195,3.047664195,WD,Normal,5.204119983
1-STORY 1946 & NEWER ALL STYLES,RL,4.091385542,NAmes,5,5,2.990338855,3.152899596,WD,Normal,5.145817714
SPLIT OR MULTI-LEVEL,RL,3.982271233,NAmes,6,6,3.062957834,3.181843588,WD,Normal,5.184691431
2-STORY 1946 & NEWER,RL,4.064682566,NAmes,5,5,3.017033339,3.318063335,WD,Family,5.130333768
SPLIT OR MULTI-LEVEL,RL,3.955206538,NAmes,6,5,3.096214585,3.130333768,WD,Normal,5.226599905
2-STORY 1945 & OLDER,RM,3.954242509,OldTown,5,6,2.803457116,3.243038049,WD,Abnorml,5.093421685
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.661812686,NridgHt,8,5,3.191451014,3.191451014,WD,Normal,5.321184027
1-STORY 1946 & NEWER ALL STYLES,RL,4.075546961,NWAmes,7,5,3.14176323,3.149527014,WD,Family,4.916453949
1-STORY 1946 & NEWER ALL STYLES,RL,3.966141733,NAmes,5,7,3.023663918,3.023663918,WD,Normal,5.144262774
DUPLEX - ALL STYLES AND AGES,RL,3.843793198,OldTown,6,5,3.023663918,3.023663918,WD,Normal,5.158362492
2 FAMILY CONVERSION - ALL STYLES AND AGES,RH,4.037267095,SWISU,6,7,3.158362492,3.530839779,WD,Abnorml,5.301029996
1-STORY 1945 & OLDER,RM,3.786751422,BrkSide,2,3,2.421603927,2.903089987,ConLw,Normal,4.77815125
2 FAMILY CONVERSION - ALL STYLES AND AGES,RM,3.77815125,OldTown,5,4,2.909020854,3.142076461,WD,Normal,4.968482949
1-STORY 1945 & OLDER,RL,3.943346098,Edwards,5,7,2.900913068,2.900913068,WD,Normal,4.929418926
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.600101256,Blmngtn,8,5,3.181843588,3.195068996,New,Partial,5.422525823
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,4.10301649,NridgHt,8,5,3.181271772,3.181271772,WD,Normal,5.437750563
2-STORY 1946 & NEWER,FV,3.848189117,Somerst,7,5,3.024074987,3.285332228,WD,Normal,5.354108439
SPLIT OR MULTI-LEVEL,RL,4.14176323,NAmes,8,7,3.290479813,3.432006687,WD,Normal,5.537819095
2-STORY 1946 & NEWER,RL,4.033142177,NWAmes,5,5,2.892094603,3.209515015,WD,Normal,5.181843588
1-STORY 1946 & NEWER ALL STYLES,FV,3.963173716,Somerst,9,5,3.246990699,3.246990699,New,Partial,5.569231072
1-STORY 1946 & NEWER ALL STYLES,RL,4.022428371,NAmes,6,5,2.991669007,2.991669007,WD,Normal,5.156094631
1-STORY 1946 & NEWER ALL STYLES,RL,3.857332496,NAmes,5,5,#NUM!,3.020361283,WD,Normal,4.992553518
1-STORY 1946 & NEWER ALL STYLES,RL,4.019199401,Edwards,6,5,3.039017322,3.039017322,WD,Normal,5.190331698
2-STORY 1946 & NEWER,RL,3.886490725,NAmes,6,5,2.878521796,3.264581729,WD,Normal,5.190331698
PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,RM,3.286905353,MeadowV,4,6,2.799340549,2.799340549,WD,Normal,4.926856709
2-STORY 1946 & NEWER,FV,3.90982337,Somerst,7,6,2.910090546,3.221414238,WD,Normal,5.313761796
2-STORY 1945 & OLDER,RL,3.958277126,Edwards,4,5,2.877946952,3.178976947,WD,Normal,5.033423755
2-STORY 1946 & NEWER,RL,3.942008053,CollgCr,7,5,2.944482672,3.234517284,WD,Normal,5.281033367
1-1/2 STORY FINISHED ALL AGES,RM,4.013679697,IDOTRR,6,7,2.878521796,3.167021796,WD,Normal,5.130333768
